gene_name,plate_well_ID,Target_terminus,Ensembl_ID,input
VPS35,P0017_H02,C,ENST00000299138,"ENST00000299138,C"
HEATR3,P0011_C11,N,ENST00000299192,"ENST00000299192,N"
CCT2,P0007_C07,C,ENST00000299300,"ENST00000299300,C"
ILK,P0013_F07,C,ENST00000299421,"ENST00000299421,C"
HSP90B1,P0005_D07,N,ENST00000299767,"ENST00000299767,N"
PLK1,P0014_C04,N,ENST00000300093,"ENST00000300093,N"
SLC27A4,P0015_B02,C,ENST00000300456,"ENST00000300456,C"
STIM1,P0004_H01,C,ENST00000300737,"ENST00000300737,C"
MVD,P0004_A06,C,ENST00000301012,"ENST00000301012,C"
ANKRD11,P0015_G05,N,ENST00000301030,"ENST00000301030,N"
DAPK3,P0013_D10,N,ENST00000301264,"ENST00000301264,N"
TSR1,P0012_E06,C,ENST00000301364,"ENST00000301364,C"
DDB1,P0012_B10,N,ENST00000301764,"ENST00000301764,N"
POLR2G,P0010_E06,C,ENST00000301788,"ENST00000301788,C"
CTTN,P0008_F01,N,ENST00000301843,"ENST00000301843,N"
PBK,P0014_B06,N,ENST00000301905,"ENST00000301905,N"
DnaJC18,P0005_C03,N,ENST00000302060,"ENST00000302060,N"
UBB,P0004_F02,N,ENST00000302182,"ENST00000302182,N"
KIF5B,P0017_B12,C,ENST00000302418,"ENST00000302418,C"
CKAP2L,P0016_C09,N,ENST00000302450,"ENST00000302450,N"
SF3B3,P0017_D11,C,ENST00000302516,"ENST00000302516,C"
JUNB,P0018_F09,N,ENST00000302754,"ENST00000302754,N"
BUB1,P0013_B04,N,ENST00000302759,"ENST00000302759,N"
UBTF,P0003_A07,N,ENST00000302904,"ENST00000302904,N"
POLR1D,P0003_A04,N,ENST00000302979,"ENST00000302979,N"
RAB24,P0001_F01,N,ENST00000303251,"ENST00000303251,N"
BRD3,P0013_B02,N,ENST00000303407,"ENST00000303407,N"
ARF4,P0010_A07,C,ENST00000303436,"ENST00000303436,C"
TMED10,P0003_F07,C,ENST00000303575,"ENST00000303575,C"
TRAPPC1,P0008_A08,C,ENST00000303731,"ENST00000303731,C"
AGAP1,P0010_A02,N,ENST00000304032,"ENST00000304032,N"
ARL6IP1,P0005_H09,N,ENST00000304414,"ENST00000304414,N"
ELOVL5,P0004_D12,C,ENST00000304434,"ENST00000304434,C"
CDKN2A,P0012_B04,N,ENST00000304494,"ENST00000304494,N"
XPO6,P0016_H01,N,ENST00000304658,"ENST00000304658,N"
SRP9,P0012_A07,N,ENST00000304786,"ENST00000304786,N"
TMEM208,P0021_H06,N,ENST00000304800,"ENST00000304800,N"
HSPA4,P0005_D11,C,ENST00000304858,"ENST00000304858,C"
PRPF8,P0017_F02,C,ENST00000304992,"ENST00000304992,C"
STIP1,P0005_E06,N,ENST00000305218,"ENST00000305218,N"
HDAC3,P0016_A04,C,ENST00000305264,"ENST00000305264,C"
CD2BP2,P0018_C09,N,ENST00000305596,"ENST00000305596,N"
MMGT1,P0016_B10,C,ENST00000305963,"ENST00000305963,C"
MBOAT2,P0004_F07,C,ENST00000305997,"ENST00000305997,C"
ANKRD27,P0015_H07,C,ENST00000306065,"ENST00000306065,C"
ALCAM,P0003_D09,C,ENST00000306107,"ENST00000306107,C"
SNX7,P0010_C12,N,ENST00000306121,"ENST00000306121,N"
REEP4,P0016_C02,C,ENST00000306306,"ENST00000306306,C"
POLR3D,P0010_F04,C,ENST00000306433,"ENST00000306433,C"
TMEM192,P0004_H07,C,ENST00000306480,"ENST00000306480,C"
FASN,P0004_D08,C,ENST00000306749,"ENST00000306749,C"
RAC3,P0009_E06,N,ENST00000306897,"ENST00000306897,N"
MAP2K1,P0013_F11,C,ENST00000307102,"ENST00000307102,C"
PDCD6IP,P0005_F09,N,ENST00000307296,"ENST00000307296,N"
YWHAG,P0008_A04,C,ENST00000307630,"ENST00000307630,C"
SEC23A,P0003_E07,N,ENST00000307712,"ENST00000307712,N"
SRP68,P0012_D01,C,ENST00000307877,"ENST00000307877,C"
RPL4,P0019_E03,C,ENST00000307961,"ENST00000307961,C"
PTDSS2,P0004_G08,N,ENST00000308020,"ENST00000308020,N"
LEMD3,P0016_C07,C,ENST00000308330,"ENST00000308330,C"
SNUPN,P0016_G07,N,ENST00000308588,"ENST00000308588,N"
GRK2,P0013_E12,C,ENST00000308595,"ENST00000308595,C"
PRKACA,P0014_C07,N,ENST00000308677,"ENST00000308677,N"
PSMD1,P0006_C09,C,ENST00000308696,"ENST00000308696,C"
DHX37,P0012_G08,C,ENST00000308736,"ENST00000308736,C"
TAOK2,P0014_G02,N,ENST00000308893,"ENST00000308893,N"
C4orf32,P0022_E11,N,ENST00000309733,"ENST00000309733,N"
RBM4,P0017_G11,N,ENST00000310092,"ENST00000310092,N"
PSMD2,P0006_A11,C,ENST00000310118,"ENST00000310118,C"
RBM14,P0017_F08,N,ENST00000310137,"ENST00000310137,N"
PSMC5,P0006_B06,N,ENST00000310144,"ENST00000310144,N"
CASP2,P0019_B07,C,ENST00000310447,"ENST00000310447,C"
SLC5A6,P0015_F02,C,ENST00000310574,"ENST00000310574,C"
CDC20,P0007_E04,C,ENST00000310955,"ENST00000310955,C"
SPNS1,P0021_G02,N,ENST00000311008,"ENST00000311008,N"
SLC19A1,P0015_A08,C,ENST00000311124,"ENST00000311124,C"
RAB1B,P0001_E10,N,ENST00000311481,"ENST00000311481,N"
HMGA1,P0021_F05,C,ENST00000311487,"ENST00000311487,C"
OXSR1,P0014_B03,C,ENST00000311806,"ENST00000311806,C"
COMMD1,P0007_H06,C,ENST00000311832,"ENST00000311832,C"
KRAS,P0008_B07,N,ENST00000311936,"ENST00000311936,N"
ARHGAP1,P0009_C12,N,ENST00000311956,"ENST00000311956,N"
USP36,P0012_H01,N,ENST00000312010,"ENST00000312010,N"
CKAP5,P0016_C11,C,ENST00000312055,"ENST00000312055,C"
BANF1,P0016_C08,C,ENST00000312175,"ENST00000312175,C"
MED25,P0007_F09,C,ENST00000312865,"ENST00000312865,C"
INTS14,P0021_E03,C,ENST00000313182,"ENST00000313182,C"
TRPM7,P0018_G02,N,ENST00000313478,"ENST00000313478,N"
CSNK1D,P0013_D06,N,ENST00000314028,"ENST00000314028,N"
GAK,P0008_F09,C,ENST00000314167,"ENST00000314167,C"
PRKDC,P0014_D01,N,ENST00000314191,"ENST00000314191,N"
AGTRAP,P0005_G02,C,ENST00000314340,"ENST00000314340,C"
NEPRO,P0012_G06,C,ENST00000314400,"ENST00000314400,C"
UTP4,P0012_E05,C,ENST00000314423,"ENST00000314423,C"
YES1,P0014_H09,C,ENST00000314574,"ENST00000314574,C"
POLR2B,P0010_E01,N,ENST00000314595,"ENST00000314595,N"
WDR75,P0012_G04,C,ENST00000314761,"ENST00000314761,C"
COPG1,P0003_F12,C,ENST00000314797,"ENST00000314797,C"
HNRNPA0,P0011_H03,N,ENST00000314940,"ENST00000314940,N"
ANAPC4,P0007_D12,C,ENST00000315368,"ENST00000315368,C"
ARPC2,P0019_H07,N,ENST00000315717,"ENST00000315717,N"
WNK1,P0014_H07,N,ENST00000315939,"ENST00000315939,N"
SCAMP4,P0005_G09,C,ENST00000316097,"ENST00000316097,C"
UGDH,P0018_B07,N,ENST00000316423,"ENST00000316423,N"
CCZ1B,P0021_F08,N,ENST00000316731,"ENST00000316731,N"
VRK3,P0014_H05,N,ENST00000316763,"ENST00000316763,N"
GRB2,P0008_F10,N,ENST00000316804,"ENST00000316804,N"
DnaJA2,P0005_A12,N,ENST00000317089,"ENST00000317089,N"
TOLLIP,P0021_G03,N,ENST00000317204,"ENST00000317204,N"
RAB23,P0001_E12,N,ENST00000317483,"ENST00000317483,N"
RANBP10,P0016_G02,N,ENST00000317506,"ENST00000317506,N"
CERS5,P0004_C04,C,ENST00000317551,"ENST00000317551,C"
RTN4,P0001_H05,N,ENST00000317610,"ENST00000317610,N"
VPS39,P0021_G11,C,ENST00000318006,"ENST00000318006,C"
SCD5,P0004_E04,C,ENST00000319540,"ENST00000319540,C"
FARP1,P0009_B10,N,ENST00000319562,"ENST00000319562,N"
ARHGEF18,P0009_B01,N,ENST00000319670,"ENST00000319670,N"
RABGGTB,P0001_H01,N,ENST00000319942,"ENST00000319942,N"
RBMX,P0021_F02,N,ENST00000320676,"ENST00000320676,N"
RAB8B,P0001_G05,N,ENST00000321437,"ENST00000321437,N"
ULK1,P0014_H02,N,ENST00000321867,"ENST00000321867,N"
CD151,P0003_C11,C,ENST00000322008,"ENST00000322008,C"
BPNT1,P0006_F01,C,ENST00000322067,"ENST00000322067,C"
NOP2,P0011_B09,C,ENST00000322166,"ENST00000322166,C"
RPL10A,P0003_B12,N,ENST00000322203,"ENST00000322203,N"
SMC1A,P0012_A08,N,ENST00000322213,"ENST00000322213,N"
EEA1,P0008_G01,N,ENST00000322349,"ENST00000322349,N"
PRMT9,P0017_F04,N,ENST00000322396,"ENST00000322396,N"
SF3B2,P0017_D10,C,ENST00000322535,"ENST00000322535,C"
RuvBL1,P0019_D05,C,ENST00000322623,"ENST00000322623,C"
NCL,P0012_A04,N,ENST00000322723,"ENST00000322723,N"
ZYX,P0003_D10,C,ENST00000322764,"ENST00000322764,C"
TMEM63B,P0021_E05,C,ENST00000323267,"ENST00000323267,C"
ANKZF1,P0015_H06,N,ENST00000323348,"ENST00000323348,N"
WIPF2,P0008_H07,C,ENST00000323571,"ENST00000323571,C"
METAP2,P0019_G11,N,ENST00000323666,"ENST00000323666,N"
DEGS1,P0004_C05,C,ENST00000323699,"ENST00000323699,C"
GYS1,P0018_A02,N,ENST00000323798,"ENST00000323798,N"
ANAPC2,P0007_D11,N,ENST00000323927,"ENST00000323927,N"
TAF1D,P0003_A12,N,ENST00000323981,"ENST00000323981,N"
MED14,P0007_F10,N,ENST00000324817,"ENST00000324817,N"
ARID1A,P0018_G06,N,ENST00000324856,"ENST00000324856,N"
NUP98,P0019_C04,C,ENST00000324932,"ENST00000324932,C"
HMGCS1,P0004_A02,C,ENST00000325110,"ENST00000325110,C"
CHMP6,P0005_F08,C,ENST00000325167,"ENST00000325167,C"
IPO11,P0016_E07,N,ENST00000325324,"ENST00000325324,N"
KIAA0319L,P0003_D12,C,ENST00000325722,"ENST00000325722,C"
SLC37A3,P0015_D02,C,ENST00000326232,"ENST00000326232,C"
ARL6IP6,P0008_D07,N,ENST00000326446,"ENST00000326446,N"
ACAP2,P0010_C02,N,ENST00000326793,"ENST00000326793,N"
STK11,P0014_F01,N,ENST00000326873,"ENST00000326873,N"
PAK2,P0008_G10,N,ENST00000327134,"ENST00000327134,N"
RAB11B,P0001_E04,N,ENST00000328024,"ENST00000328024,N"
CHEK2,P0013_C09,N,ENST00000328354,"ENST00000328354,N"
NOP10,P0012_B08,C,ENST00000328848,"ENST00000328848,C"
RBM10,P0017_F05,C,ENST00000329236,"ENST00000329236,C"
EEF1G,P0019_F05,N,ENST00000329251,"ENST00000329251,N"
MRTO4,P0011_F09,N,ENST00000330263,"ENST00000330263,N"
ATP6V0A2,P0018_E04,N,ENST00000330342,"ENST00000330342,N"
PRKCD,P0014_C08,C,ENST00000330452,"ENST00000330452,C"
KPNA2,P0016_F03,C,ENST00000330459,"ENST00000330459,C"
INTS5,P0021_H09,C,ENST00000330574,"ENST00000330574,C"
ANKRD17,P0015_G06,N,ENST00000330838,"ENST00000330838,N"
DnaJA1,P0005_A11,N,ENST00000330899,"ENST00000330899,N"
C8orf33,P0001_C02,N,ENST00000331434,"ENST00000331434,N"
DRG1,P0018_C03,N,ENST00000331457,"ENST00000331457,N"
LIMK2,P0013_F10,N,ENST00000331728,"ENST00000331728,N"
ACTB,P0005_A02,N,ENST00000331789,"ENST00000331789,N"
RANBP1,P0007_H04,N,ENST00000331821,"ENST00000331821,N"
SRPRA,P0018_A08,N,ENST00000332118,"ENST00000332118,N"
VDAC2,P0005_H03,C,ENST00000332211,"ENST00000332211,C"
LAMP1,P0003_E01,C,ENST00000332556,"ENST00000332556,C"
XPOT,P0016_H03,N,ENST00000332707,"ENST00000332707,N"
PSMF1,P0006_B08,C,ENST00000333082,"ENST00000333082,C"
COPB2,P0003_G03,C,ENST00000333188,"ENST00000333188,C"
HOMER1,P0011_C09,N,ENST00000334082,"ENST00000334082,N"
POLR3C,P0010_F03,N,ENST00000334163,"ENST00000334163,N"
RPS6KA4,P0014_E02,N,ENST00000334205,"ENST00000334205,N"
KPNA4,P0016_F05,C,ENST00000334256,"ENST00000334256,C"
TRAPPC11,P0008_A11,C,ENST00000334690,"ENST00000334690,C"
PKM,P0011_A02,N,ENST00000335181,"ENST00000335181,N"
PIP5K1C,P0006_H01,N,ENST00000335312,"ENST00000335312,N"
SF3B1,P0017_D09,N,ENST00000335508,"ENST00000335508,N"
ANKRD46,P0015_H02,N,ENST00000335659,"ENST00000335659,N"
SLK,P0014_E09,C,ENST00000335753,"ENST00000335753,C"
CENPA,P0003_H02,N,ENST00000335756,"ENST00000335756,N"
BTF3,P0005_F04,N,ENST00000335895,"ENST00000335895,N"
NCKAP5L,P0016_A10,N,ENST00000335999,"ENST00000335999,N"
PNPLA2,P0021_D07,N,ENST00000336615,"ENST00000336615,N"
SEC23B,P0003_E08,N,ENST00000336714,"ENST00000336714,N"
ZCCHC7,P0017_H08,C,ENST00000336755,"ENST00000336755,C"
ATG101,P0021_C04,N,ENST00000336854,"ENST00000336854,N"
HIP1,P0008_F11,N,ENST00000336926,"ENST00000336926,N"
NECAP2,P0008_G07,N,ENST00000337132,"ENST00000337132,N"
EZR,P0003_C10,C,ENST00000337147,"ENST00000337147,C"
CLPTM1,P0019_E01,C,ENST00000337392,"ENST00000337392,C"
PRPF4B,P0014_D02,N,ENST00000337659,"ENST00000337659,N"
ECPAS,P0011_G04,N,ENST00000338205,"ENST00000338205,N"
SLC23A2,P0015_F09,C,ENST00000338244,"ENST00000338244,C"
PSPC1,P0011_F10,N,ENST00000338910,"ENST00000338910,N"
SEC24C,P0003_E12,C,ENST00000339365,"ENST00000339365,C"
RIOK3,P0014_D08,N,ENST00000339486,"ENST00000339486,N"
GLUL,P0012_A12,N,ENST00000339526,"ENST00000339526,N"
BAZ1B,P0013_A11,N,ENST00000339594,"ENST00000339594,N"
UBC,P0005_H06,N,ENST00000339647,"ENST00000339647,N"
NECAP1,P0008_G06,N,ENST00000339754,"ENST00000339754,N"
VRK2,P0014_H04,N,ENST00000340157,"ENST00000340157,N"
DYNC1I2,P0017_A04,C,ENST00000340296,"ENST00000340296,C"
ATXN2L,P0016_A12,C,ENST00000340394,"ENST00000340394,C"
VAPA,P0001_H11,N,ENST00000340541,"ENST00000340541,N"
CDK13,P0013_C02,C,ENST00000340829,"ENST00000340829,C"
H1F0,P0011_D07,C,ENST00000340857,"ENST00000340857,C"
CORO1B,P0008_E11,C,ENST00000341356,"ENST00000341356,C"
CAPRIN1,P0016_B02,N,ENST00000341394,"ENST00000341394,N"
CDK11B,P0013_B12,C,ENST00000341832,"ENST00000341832,C"
PDPK1,P0014_B08,C,ENST00000342085,"ENST00000342085,C"
MAP2K3,P0013_G01,C,ENST00000342679,"ENST00000342679,C"
PPM1G,P0019_H05,N,ENST00000344034,"ENST00000344034,N"
ZCCHC17,P0021_A08,N,ENST00000344147,"ENST00000344147,N"
AKT1S1,P0019_A10,N,ENST00000344175,"ENST00000344175,N"
KPNA1,P0016_F02,C,ENST00000344337,"ENST00000344337,C"
CDC42,P0008_E06,N,ENST00000344548,"ENST00000344548,N"
CLK3,P0013_D01,N,ENST00000345005,"ENST00000345005,N"
BCAP31,P0001_A03,C,ENST00000345046,"ENST00000345046,C"
CLTA,P0001_C12,N,ENST00000345519,"ENST00000345519,N"
CLTB,P0001_D01,N,ENST00000345807,"ENST00000345807,N"
CSNK1G3,P0013_D09,N,ENST00000345990,"ENST00000345990,N"
TLK2,P0014_G04,N,ENST00000346027,"ENST00000346027,N"
KLC4,P0017_C08,N,ENST00000347162,"ENST00000347162,N"
EPN2,P0008_F06,N,ENST00000347697,"ENST00000347697,N"
MAP4K4,P0008_G02,N,ENST00000347699,"ENST00000347699,N"
RBM5,P0017_H03,N,ENST00000347869,"ENST00000347869,N"
RAC1,P0009_E05,N,ENST00000348035,"ENST00000348035,N"
RPL35,P0003_B11,C,ENST00000348462,"ENST00000348462,C"
CKB,P0016_D12,N,ENST00000348956,"ENST00000348956,N"
WDR3,P0011_G02,N,ENST00000349139,"ENST00000349139,N"
PIP5K1A,P0006_E11,C,ENST00000349792,"ENST00000349792,C"
PDAP1,P0021_A04,N,ENST00000350498,"ENST00000350498,N"
LDHB,P0011_B10,C,ENST00000350669,"ENST00000350669,C"
SEC13,P0003_F03,C,ENST00000350697,"ENST00000350697,C"
RHOG,P0009_E09,N,ENST00000351018,"ENST00000351018,N"
NMD3,P0012_G05,N,ENST00000351193,"ENST00000351193,N"
SMN1,P0012_G11,N,ENST00000351205,"ENST00000351205,N"
CAMK2G,P0013_B06,C,ENST00000351293,"ENST00000351293,C"
AKR1A1,P0011_D11,C,ENST00000351829,"ENST00000351829,C"
PATZ1,P0011_A10,N,ENST00000351933,"ENST00000351933,N"
ACLY,P0007_A11,C,ENST00000352035,"ENST00000352035,C"
MTMR2,P0006_F05,C,ENST00000352297,"ENST00000352297,C"
CYB5R3,P0004_B05,C,ENST00000352397,"ENST00000352397,C"
ASS1,P0011_C03,C,ENST00000352480,"ENST00000352480,C"
POLR2K,P0010_E11,N,ENST00000353107,"ENST00000353107,N"
HNRNPD,P0021_E10,N,ENST00000353341,"ENST00000353341,N"
ARFIP1,P0010_C05,N,ENST00000353617,"ENST00000353617,N"
YWHAB,P0008_A02,C,ENST00000353703,"ENST00000353703,C"
DDX21,P0012_C01,N,ENST00000354185,"ENST00000354185,N"
IPO4,P0016_E09,N,ENST00000354464,"ENST00000354464,N"
AKAP12,P0011_C04,C,ENST00000354675,"ENST00000354675,C"
PES1,P0012_C04,N,ENST00000354694,"ENST00000354694,N"
ACAP3,P0010_C03,N,ENST00000354700,"ENST00000354700,N"
ALDH9A1,P0011_E02,N,ENST00000354775,"ENST00000354775,N"
PIP4K2C,P0006_G04,C,ENST00000354947,"ENST00000354947,C"
ATG7,P0021_C11,C,ENST00000354956,"ENST00000354956,C"
NET1,P0009_C02,N,ENST00000355029,"ENST00000355029,N"
BLM,P0012_C10,N,ENST00000355112,"ENST00000355112,N"
POLR3H,P0010_F09,C,ENST00000355209,"ENST00000355209,C"
SNU13,P0012_C03,C,ENST00000355257,"ENST00000355257,C"
MINK1,P0014_A07,N,ENST00000355280,"ENST00000355280,N"
MFSD12,P0021_F12,N,ENST00000355415,"ENST00000355415,N"
TRRAP,P0014_G08,N,ENST00000355540,"ENST00000355540,N"
STRN3,P0014_B07,C,ENST00000355683,"ENST00000355683,C"
COMMD6,P0007_H09,C,ENST00000355801,"ENST00000355801,C"
WWOX,P0008_H08,N,ENST00000355860,"ENST00000355860,N"
MYO9A,P0009_A11,N,ENST00000356056,"ENST00000356056,N"
PHLDB1,P0018_B11,N,ENST00000356063,"ENST00000356063,N"
PSMD12,P0006_C07,N,ENST00000356126,"ENST00000356126,N"
UVRAG,P0021_G04,N,ENST00000356136,"ENST00000356136,N"
RBM38,P0017_G09,C,ENST00000356208,"ENST00000356208,C"
CDC16,P0007_E03,C,ENST00000356221,"ENST00000356221,C"
G3BP1,P0005_F05,N,ENST00000356245,"ENST00000356245,N"
PAK1,P0008_G09,C,ENST00000356341,"ENST00000356341,C"
LSS,P0004_B01,C,ENST00000356396,"ENST00000356396,C"
ARHGEF12,P0009_A12,N,ENST00000356641,"ENST00000356641,N"
RAB18,P0001_E08,N,ENST00000356940,"ENST00000356940,N"
CALM1,P0004_H03,N,ENST00000356978,"ENST00000356978,N"
OCRL,P0006_F08,N,ENST00000357121,"ENST00000357121,N"
SFPQ,P0021_F01,N,ENST00000357214,"ENST00000357214,N"
SMARCA2,P0018_G09,C,ENST00000357248,"ENST00000357248,C"
FKBP5,P0011_A08,N,ENST00000357266,"ENST00000357266,N"
SMARCAL1,P0018_H01,N,ENST00000357276,"ENST00000357276,N"
RICTOR,P0019_A08,C,ENST00000357387,"ENST00000357387,C"
C7orf50,P0001_B10,N,ENST00000357429,"ENST00000357429,N"
POT1,P0019_D07,N,ENST00000357628,"ENST00000357628,N"
GOLGA7,P0003_C07,C,ENST00000357743,"ENST00000357743,C"
CHM,P0005_G04,N,ENST00000357749,"ENST00000357749,N"
G3BP2,P0005_F06,N,ENST00000357854,"ENST00000357854,N"
RNF40,P0019_G07,N,ENST00000357890,"ENST00000357890,N"
MAPKAPK3,P0013_H06,C,ENST00000357955,"ENST00000357955,C"
DDX47,P0012_E11,N,ENST00000358007,"ENST00000358007,N"
HMGN5,P0016_D06,C,ENST00000358130,"ENST00000358130,C"
PAK4,P0014_B04,N,ENST00000358301,"ENST00000358301,N"
TRIM33,P0014_G07,C,ENST00000358465,"ENST00000358465,C"
TMA16,P0012_F04,C,ENST00000358572,"ENST00000358572,C"
VCP,P0004_H10,N,ENST00000358901,"ENST00000358901,N"
RAB3GAP2,P0001_F10,N,ENST00000358951,"ENST00000358951,N"
SMARCAD1,P0018_G12,C,ENST00000359052,"ENST00000359052,C"
SNX11,P0010_D02,N,ENST00000359238,"ENST00000359238,N"
NUP214,P0019_C07,N,ENST00000359428,"ENST00000359428,N"
ATP6V1H,P0018_F02,N,ENST00000359530,"ENST00000359530,N"
CLASP2,P0016_A09,N,ENST00000359576,"ENST00000359576,N"
TRAPPC2,P0008_B01,N,ENST00000359680,"ENST00000359680,N"
DNM2,P0008_F04,C,ENST00000359692,"ENST00000359692,C"
ATG2B,P0021_D01,N,ENST00000359933,"ENST00000359933,N"
TFRC,P0003_D07,N,ENST00000360110,"ENST00000360110,N"
DYNC1H1,P0017_A03,C,ENST00000360184,"ENST00000360184,C"
MSN,P0003_D11,N,ENST00000360270,"ENST00000360270,N"
BAZ1A,P0013_A10,N,ENST00000360310,"ENST00000360310,N"
VPS29,P0019_D10,C,ENST00000360579,"ENST00000360579,C"
SQSTM1,P0005_E11,C,ENST00000360718,"ENST00000360718,C"
GTPBP4,P0012_D03,C,ENST00000360803,"ENST00000360803,C"
SCYL2,P0014_E08,N,ENST00000360820,"ENST00000360820,N"
DNAJC5,P0005_C10,N,ENST00000360864,"ENST00000360864,N"
EIF3B,P0019_G03,N,ENST00000360876,"ENST00000360876,N"
NCKAP1,P0008_G05,N,ENST00000360982,"ENST00000360982,N"
MYO1C,P0017_D03,N,ENST00000361007,"ENST00000361007,N"
RBM39,P0017_G10,N,ENST00000361162,"ENST00000361162,N"
CDC42BPB,P0013_B09,C,ENST00000361246,"ENST00000361246,C"
SPOUT1,P0012_G10,C,ENST00000361256,"ENST00000361256,C"
TOP1,P0011_F12,N,ENST00000361337,"ENST00000361337,N"
CTNNBL1,P0011_H09,C,ENST00000361383,"ENST00000361383,C"
HMGN2,P0021_E07,N,ENST00000361427,"ENST00000361427,N"
MTOR,P0001_D07,N,ENST00000361445,"ENST00000361445,N"
BECN1,P0021_D02,C,ENST00000361523,"ENST00000361523,C"
OSTC,P0007_A02,N,ENST00000361564,"ENST00000361564,N"
KIFAP3,P0017_C02,C,ENST00000361580,"ENST00000361580,C"
PSMB5,P0006_B01,C,ENST00000361611,"ENST00000361611,C"
ARHGAP11A/B,P0009_D01,N,ENST00000361627,"ENST00000361627,N"
INO80,P0018_G05,C,ENST00000361937,"ENST00000361937,C"
KIF1BP,P0017_B02,C,ENST00000361983,"ENST00000361983,C"
ITSN2,P0009_C01,N,ENST00000361999,"ENST00000361999,N"
CEP170,P0007_A12,C,ENST00000366542,"ENST00000366542,C"
RAB4A,P0005_G06,N,ENST00000366690,"ENST00000366690,N"
PARP1,P0003_H10,N,ENST00000366794,"ENST00000366794,N"
MAPKAPK2,P0013_H05,N,ENST00000367103,"ENST00000367103,N"
RAB29,P0001_F03,N,ENST00000367139,"ENST00000367139,N"
NUCKS1,P0021_F04,C,ENST00000367142,"ENST00000367142,C"
RABIF,P0001_H02,N,ENST00000367262,"ENST00000367262,N"
PLA2G4A,P0004_G10,C,ENST00000367466,"ENST00000367466,C"
TPR,P0019_C09,C,ENST00000367478,"ENST00000367478,C"
TRMT1L,P0021_H01,C,ENST00000367506,"ENST00000367506,C"
UTRN,P0009_F09,N,ENST00000367545,"ENST00000367545,N"
DHX9,P0012_B07,N,ENST00000367549,"ENST00000367549,N"
SF3B5,P0017_E01,C,ENST00000367569,"ENST00000367569,C"
LTV1,P0012_D06,C,ENST00000367576,"ENST00000367576,C"
PEX3,P0016_H06,C,ENST00000367591,"ENST00000367591,C"
CEP350,P0007_B10,N,ENST00000367607,"ENST00000367607,N"
UFC1,P0021_A05,N,ENST00000368003,"ENST00000368003,N"
COPA,P0003_F10,C,ENST00000368069,"ENST00000368069,C"
LMNA,P0003_E04,N,ENST00000368301,"ENST00000368301,N"
LAMTOR2,P0011_G01,N,ENST00000368305,"ENST00000368305,N"
CENPW,P0003_H03,N,ENST00000368328,"ENST00000368328,N"
CLK2,P0013_C12,N,ENST00000368361,"ENST00000368361,N"
PMVK,P0004_A05,N,ENST00000368467,"ENST00000368467,N"
RAB13,P0001_E06,N,ENST00000368575,"ENST00000368575,N"
HDAC2,P0016_A03,C,ENST00000368632,"ENST00000368632,C"
MKI67,P0010_F11,N,ENST00000368653,"ENST00000368653,N"
FYN,P0013_E11,C,ENST00000368678,"ENST00000368678,C"
S100A10,P0011_D08,C,ENST00000368809,"ENST00000368809,C"
SNX27,P0010_D09,N,ENST00000368843,"ENST00000368843,N"
SLC16A10,P0015_A05,C,ENST00000368851,"ENST00000368851,C"
PI4KB,P0006_E12,N,ENST00000368874,"ENST00000368874,N"
PSMD4,P0006_A09,C,ENST00000368884,"ENST00000368884,C"
HIST2H2BE,P0012_A10,C,ENST00000369155,"ENST00000369155,C"
HSPA12A,P0005_D08,N,ENST00000369209,"ENST00000369209,N"
RBM8A,P0017_H06,N,ENST00000369307,"ENST00000369307,N"
POLR3GL,P0010_F08,N,ENST00000369314,"ENST00000369314,N"
CASP7,P0019_B10,C,ENST00000369318,"ENST00000369318,C"
MAP3K7,P0013_G07,C,ENST00000369332,"ENST00000369332,C"
DKC1,P0012_B11,C,ENST00000369550,"ENST00000369550,C"
SLC16A1,P0015_A04,C,ENST00000369626,"ENST00000369626,C"
RHOC,P0009_C09,N,ENST00000369637,"ENST00000369637,N"
ATP6AP1,P0018_E01,C,ENST00000369762,"ENST00000369762,C"
PDCD11,P0012_F12,C,ENST00000369797,"ENST00000369797,C"
TTK,P0014_G09,N,ENST00000369798,"ENST00000369798,N"
IRAK1,P0013_F08,C,ENST00000369980,"ENST00000369980,C"
GBF1,P0010_B01,N,ENST00000369983,"ENST00000369983,N"
NPM3,P0003_B09,C,ENST00000370110,"ENST00000370110,C"
LZTS2,P0011_B04,N,ENST00000370223,"ENST00000370223,N"
NSDHL,P0004_B06,N,ENST00000370274,"ENST00000370274,N"
CETN2,P0007_C05,N,ENST00000370277,"ENST00000370277,N"
ARFGAP1,P0003_G11,C,ENST00000370283,"ENST00000370283,C"
RPL5,P0012_A02,C,ENST00000370321,"ENST00000370321,C"
SCD,P0004_E03,C,ENST00000370355,"ENST00000370355,C"
MTMR1,P0006_F02,N,ENST00000370390,"ENST00000370390,N"
CHUK,P0013_C10,C,ENST00000370397,"ENST00000370397,C"
CUTC,P0011_H07,N,ENST00000370476,"ENST00000370476,N"
PKN2,P0014_C02,N,ENST00000370521,"ENST00000370521,N"
PI4K2A,P0006_H06,C,ENST00000370631,"ENST00000370631,C"
DnaJB4,P0005_B06,N,ENST00000370763,"ENST00000370763,N"
ANKRD13C,P0015_H05,N,ENST00000370944,"ENST00000370944,N"
SMARCA1,P0018_G08,N,ENST00000371122,"ENST00000371122,N"
